Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.88680165694019E-11,-7.89088179079373E-13,0.146649913025819,0,0,0,1.28910373447466,0.00787183936947509,-2.38713384479774E-14,-1.55008948184701E-14,0.0062829958134847,-1.08474587499532E-14,0.00295338481354163,0,0,0,0,0,0,package://simple_mtm_v2/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simple_mtm_v2/meshes/base_link.STL,,base.stp-1;shoulder_pitch.stp-1;Mirrorshoulder_pitch.stp-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_J1_link,-0.0272468641090351,-0.00431239962159147,0.0136177788693088,0,0,0,0.217265269014195,8.82896586774549E-05,-5.23747831657562E-06,4.8461866116039E-07,9.88337545554133E-05,3.16056040568797E-07,0.000161817724573325,0,0,0,0,0,0,package://simple_mtm_v2/meshes/right_J1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simple_mtm_v2/meshes/right_J1_link.STL,,shoulder_left_arm.stp-1,Origin_right_J1_joint,right_shoulder,right_J1_joint,fixed,0,0.216999999999988,0.284999999999997,-1.57079632679489,0,0,base_link,0,0,0,,,,,,,,,,,,
right_J2_link,0.123474393867848,0.0151001355687586,0.00892223373852799,0,0,0,0.028442603557216,2.23413747833826E-06,-3.63778375397653E-11,-8.63056316192391E-08,2.11946804960037E-05,1.95087354662905E-13,2.18319915210086E-05,0,0,0,0,0,0,package://simple_mtm_v2/meshes/right_J2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simple_mtm_v2/meshes/right_J2_link.STL,,upper_arm.stp-1,Origin_right_J1_joint2,right_upper_arm,right_J2_joint,fixed,0.0349999999999925,0.0150999999999992,0.0200000000000018,3.14159265358979,0,0,right_J1_link,0,0,0,,,,,,,,,,,,
right_J3_link,0.169855168688952,-0.00305883869648604,0.000145482432614141,0,0,0,0.0380698507697238,3.57015181856013E-06,5.77797289659661E-08,-8.3381605126793E-09,2.50590429109014E-05,-4.10119337476326E-09,2.32459379326265E-05,0,0,0,0,0,0,package://simple_mtm_v2/meshes/right_J3_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simple_mtm_v2/meshes/right_J3_link.STL,,lower_arm.stp-1;gimbal-1/G_BASE-1,Origin_right_J3_joint,right_lower_arm,right_J3_joint,fixed,0.227499999999998,0.0150999999999999,0.0195,1.5707963267949,0,-1.5707963267949,right_J2_link,0,0,0,,,,,,,,,,,,
right_G3_link,-0.000538297476743999,-0.0307137661844251,0.0399306243530034,0,0,0,0.0139115084786958,2.05714094634586E-06,1.1892075465608E-08,1.26103144141432E-08,3.24885510161296E-06,8.7999754923934E-09,2.08516194030023E-06,0,0,0,0,0,0,package://simple_mtm_v2/meshes/right_G3_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_mtm_v2/meshes/right_G3_link.STL,,gimbal-1/G3-2,Origin_right_G3_joint,right_g3,right_G3_joint,fixed,0.192500000000002,0.00969999999999821,0,0,1.5707963267949,0,right_J3_link,0,0,0,,,,,,,,,,,,
right_G2_link,-0.000193564668082208,-0.0340058831715834,0.0387465222468135,0,0,0,0.000175394578104925,6.00806245621315E-09,1.19071568960991E-11,-1.77273008759156E-09,7.79464906245331E-09,3.12378910526827E-11,2.03310817422897E-09,0,0,0,0,0,0,package://simple_mtm_v2/meshes/right_G2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_mtm_v2/meshes/right_G2_link.STL,,gimbal-1/G1-1,Origin_right_G2_joint,right_g2,right_G2_joint,fixed,-0.0139815439024298,0.00129786118054417,0.0772341692003624,-3.14159265358979,0.364174851103282,-3.14159265358979,right_G3_link,0,0,0,,,,,,,,,,,,
right_G1_link,0.000186896931328256,-0.119856134438225,0.0397448705989013,0,0,0,0.00625621520582894,1.27666098433788E-05,-3.81984009277203E-10,1.82290603543817E-09,1.145312463721E-07,-1.08584458211379E-09,1.2772204109208E-05,0,0,0,0,0,0,package://simple_mtm_v2/meshes/right_G1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_mtm_v2/meshes/right_G1_link.STL,,gimbal-1/G2-1;gimbal-1/handpiece-1,Origin_right_G1_joint,right_g1,right_G1_joint,fixed,0,0,0,0,0,0,right_G2_link,0,0,0,,,,,,,,,,,,
right_lever_1_link,0.00510793204640073,-0.0889448697520081,0.0529085641186359,0,0,0,0.00204075410055779,7.29183513257834E-07,-6.03030693249951E-08,-1.19420101275413E-08,6.47741906382632E-08,-1.3976155674729E-07,7.10623137553932E-07,0,0,0,0,0,0,package://simple_mtm_v2/meshes/right_lever_1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_mtm_v2/meshes/right_lever_1_link.STL,,gimbal-1/lever-1,Origin_right_lever_1_joint,lever,right_lever_1_joint,fixed,-0.000578106027015302,0.00496024892621399,0.0771324048250518,-3.12182427052133,-7.44784606204923E-05,-3.13405782561958,right_G1_link,0,0,0,,,,,,,,,,,,
right_lever_2_link,0.00510793196677625,-0.0889448706223118,0.0529085639711716,0,0,0,0.00204075409888612,7.29183560316009E-07,-6.03030754022305E-08,-1.1942011554855E-08,6.47741938416197E-08,-1.39761574634597E-07,7.10623180129432E-07,0,0,0,0,0,0,package://simple_mtm_v2/meshes/right_lever_2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple_mtm_v2/meshes/right_lever_2_link.STL,,gimbal-1/lever-2,Origin_right_lever_2_link,lever,right_lever_2_joint,fixed,0.00036791989843285,0.00447042270834766,0.000824842222483302,0.00686960114312612,0,-0.00261851443835586,right_G1_link,0,0,0,,,,,,,,,,,,
left_J1_link,-0.0272470459025141,-0.00431247037624372,-0.0136176602573094,0,0,0,0.217267755163641,8.82896121461167E-05,-5.23762425220009E-06,-4.84573947078784E-07,9.88338996756001E-05,-3.16058105744323E-07,0.00016181783250205,0,0,0,0,0,0,package://simple_mtm_v2/meshes/left_J1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://simple_mtm_v2/meshes/left_J1_link.STL,,Mirrorshoulder_left_arm.stp-3,Origin_left_J1_joint,left_shoulder,left_J1_joint,fixed,0,-0.216999999999989,0.284999999999993,-1.57079632679489,0,0,base_link,0,0,0,,,,,,,,,,,,
